run_accession	response_label	fastq_ftp_1	fastq_ftp_2	fastq_bytes	read_count
SRR11413646	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/046/SRR11413646/SRR11413646_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/046/SRR11413646/SRR11413646_2.fastq.gz	3384798695	24499261
SRR11413647	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/047/SRR11413647/SRR11413647_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/047/SRR11413647/SRR11413647_2.fastq.gz	3858061813	27396533
SRR11413648	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/048/SRR11413648/SRR11413648_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/048/SRR11413648/SRR11413648_2.fastq.gz	3951593974	29591479
SRR11413649	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/049/SRR11413649/SRR11413649_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/049/SRR11413649/SRR11413649_2.fastq.gz	4222052990	30341804
SRR11413650	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/050/SRR11413650/SRR11413650_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/050/SRR11413650/SRR11413650_2.fastq.gz	3671012460	27394690
SRR11413652	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11413652/SRR11413652_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/052/SRR11413652/SRR11413652_2.fastq.gz	4195335451	27991630
SRR11413653	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11413653/SRR11413653_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/053/SRR11413653/SRR11413653_2.fastq.gz	3329514148	24411280
SRR11413654	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/054/SRR11413654/SRR11413654_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/054/SRR11413654/SRR11413654_2.fastq.gz	3542062716	25210468
SRR11413655	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/055/SRR11413655/SRR11413655_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/055/SRR11413655/SRR11413655_2.fastq.gz	3458142577	24430658
SRR11413656	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/056/SRR11413656/SRR11413656_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/056/SRR11413656/SRR11413656_2.fastq.gz	3456184436	24074307
SRR11413657	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11413657/SRR11413657_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/057/SRR11413657/SRR11413657_2.fastq.gz	3601497452	25619798
SRR11413678	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/078/SRR11413678/SRR11413678_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/078/SRR11413678/SRR11413678_2.fastq.gz	4494781113	30874108
SRR11413679	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/079/SRR11413679/SRR11413679_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/079/SRR11413679/SRR11413679_2.fastq.gz	3466120930	25488925
SRR11413680	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/080/SRR11413680/SRR11413680_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/080/SRR11413680/SRR11413680_2.fastq.gz	3237958611	22499157
SRR11413681	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/081/SRR11413681/SRR11413681_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/081/SRR11413681/SRR11413681_2.fastq.gz	3420388143	25228757
SRR11413683	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/083/SRR11413683/SRR11413683_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/083/SRR11413683/SRR11413683_2.fastq.gz	3641419263	25539117
SRR11413684	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/084/SRR11413684/SRR11413684_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/084/SRR11413684/SRR11413684_2.fastq.gz	3161187129	23504995
SRR11413685	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/085/SRR11413685/SRR11413685_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/085/SRR11413685/SRR11413685_2.fastq.gz	3936537171	27046595
SRR11413686	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/086/SRR11413686/SRR11413686_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/086/SRR11413686/SRR11413686_2.fastq.gz	3137208851	22514612
SRR11413687	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/087/SRR11413687/SRR11413687_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/087/SRR11413687/SRR11413687_2.fastq.gz	4405621999	28626739
SRR11413688	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/088/SRR11413688/SRR11413688_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/088/SRR11413688/SRR11413688_2.fastq.gz	3427886678	24293684
SRR11413689	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/089/SRR11413689/SRR11413689_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/089/SRR11413689/SRR11413689_2.fastq.gz	3282997673	23995004
SRR11413690	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/090/SRR11413690/SRR11413690_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/090/SRR11413690/SRR11413690_2.fastq.gz	2978048125	20522979
SRR11413691	NR	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/091/SRR11413691/SRR11413691_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/091/SRR11413691/SRR11413691_2.fastq.gz	4263671876	29086652
SRR11413692	R	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/092/SRR11413692/SRR11413692_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR114/092/SRR11413692/SRR11413692_2.fastq.gz	2951024050	21222478
