genus	n_folds	folds_selected	folds_nonzero	pct_selected	pct_nonzero_of_sel	sign_pos_frac	mean_coef_nz	direction	binomial_p	bh_fdr_q	fdr_sig
Priestia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Privateervirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Proboscivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Prochlorococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Profundibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Propionibacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Propioniciclava	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Protaetiibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pirellula	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pippivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pipoluvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelodictyon	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelolinea	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelosinus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pengzhenrongella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peptacetobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peptoclostridium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peptoniphilus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peptostreptococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Percavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peribacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Perisivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Periweissella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Permianibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Persephonella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Persicimonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Persicobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelistega	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pestivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelagovum	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelagibacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pasteurella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paucibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paucilactobacillus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pauljensenia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Paundivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pbunavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peatvirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pebcunavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pectinatus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pectobacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pediococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pedobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pedococcus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peduovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pegivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pegunavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Niveibacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pelagivirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peterkaempfera	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Peteryoungia	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Petrimonas	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Photorhabdus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phototrophicus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phrappuccinovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phreatobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phycicoccus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phycisphaera	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phyllobacterium	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phytobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phytohabitans	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Phytoreovirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Picrophilus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pigmentibacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pigmentiphaga	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pijolavirus	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pikeienuella	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
Pimelobacter	79	0	0	0.0	0.0		0.0	none	1.0	1.0	False
