run_accession	actual	n_features	EN_prob_R	EN_pred	EN_correct	EN_inner_auc	EN_best_C	EN_best_l1	RF_prob_R	RF_pred	RF_correct	RF_inner_auc	RF_best_n_est	RF_best_depth	XGB_prob_R	XGB_pred	XGB_correct	XGB_inner_auc	XGB_best_n_est	XGB_best_depth	XGB_best_lr
ERR6281431	R	65	0.0032	NR	NO	0.5591	1.0	0.7	0.3485	NR	NO	0.4485	500	5	0.2796	NR	NO	0.4893	100	3	0.1
ERR6281432	NR	65	0.0298	NR	YES	0.5716	1.0	0.7	0.3463	NR	YES	0.5056	500	10	0.1809	NR	YES	0.574	200	3	0.05
ERR6281433	R	65	0.0261	NR	NO	0.5489	1.0	0.7	0.25	NR	NO	0.4992	200	None	0.1148	NR	NO	0.5315	200	2	0.1
ERR6281434	NR	65	0.9859	R	NO	0.6097	1.0	0.7	0.3716	NR	YES	0.5223	500	10	0.2954	NR	YES	0.5758	200	2	0.05
ERR6281448	R	65	0.0002	NR	NO	0.6051	1.0	0.7	0.385	NR	NO	0.5477	200	None	0.3956	NR	NO	0.5277	200	2	0.1
ERR6281499	R	65	0.6006	R	YES	0.6431	1.0	0.3	0.4461	NR	NO	0.5542	200	10	0.5095	R	YES	0.6147	200	2	0.05
ERR6281500	NR	65	0.0481	NR	YES	0.5733	10.0	0.5	0.498	NR	YES	0.5283	500	None	0.594	R	NO	0.5881	100	2	0.05
ERR6281504	NR	65	0.3354	NR	YES	0.6356	100.0	0.3	0.36	NR	YES	0.4746	200	None	0.0432	NR	YES	0.5571	200	3	0.1
ERR6281505	NR	65	0.0003	NR	YES	0.6171	100.0	0.3	0.4941	NR	YES	0.546	200	5	0.4995	NR	YES	0.5492	100	3	0.05
ERR6281518	R	65	0.037	NR	NO	0.5717	1.0	0.7	0.33	NR	NO	0.5075	200	None	0.0684	NR	NO	0.5106	200	3	0.1
ERR6281586	NR	65	0.1341	NR	YES	0.6544	1.0	0.7	0.3358	NR	YES	0.5086	200	10	0.1281	NR	YES	0.5635	200	2	0.1
ERR6281658	NR	65	1.0	R	NO	0.6467	10.0	0.7	0.4502	NR	YES	0.4913	500	5	0.5266	R	NO	0.5248	100	2	0.05
ERR6281677	NR	65	0.6152	R	NO	0.6031	1.0	0.7	0.41	NR	YES	0.4823	200	None	0.2758	NR	YES	0.4534	100	3	0.05
ERR6281751	NR	65	0.5498	R	NO	0.5974	10.0	0.7	0.4978	NR	YES	0.5185	200	5	0.5609	R	NO	0.565	200	2	0.1
ERR6281939	R	65	0.4406	NR	NO	0.496	100.0	0.3	0.452	NR	NO	0.4985	500	None	0.4845	NR	NO	0.5387	200	3	0.1
ERR6281941	NR	65	0.0213	NR	YES	0.5151	1.0	0.7	0.26	NR	YES	0.4798	200	None	0.1836	NR	YES	0.4958	100	3	0.05
ERR6281942	NR	65	0.0013	NR	YES	0.505	100.0	0.5	0.434	NR	YES	0.4576	500	None	0.4981	NR	YES	0.48	200	2	0.05
ERR6281944	NR	65	0.7847	R	NO	0.5526	100.0	0.7	0.3941	NR	YES	0.4574	500	5	0.6475	R	NO	0.5139	200	2	0.1
ERR6281997	R	65	0.9408	R	YES	0.5994	100.0	0.3	0.31	NR	NO	0.5081	200	None	0.703	R	YES	0.5433	200	2	0.05
ERR6282070	NR	65	0.0082	NR	YES	0.5483	10.0	0.7	0.2433	NR	YES	0.472	500	10	0.0607	NR	YES	0.5273	200	3	0.05
ERR6282137	NR	65	0.5489	R	NO	0.6397	1.0	0.5	0.3753	NR	YES	0.5132	500	5	0.0795	NR	YES	0.5505	200	2	0.1
ERR6282298	R	65	1.0	R	YES	0.6501	10.0	0.7	0.252	NR	NO	0.5115	500	5	0.2963	NR	NO	0.5027	100	2	0.05
ERR6282383	NR	65	0.4135	NR	YES	0.5641	1.0	0.7	0.2875	NR	YES	0.5399	200	10	0.3347	NR	YES	0.5815	200	2	0.1
