perm_index	ElasticNet	RandomForest	XGBoost
65	0.49479166666666663	0.5034722222222222	0.5190972222222222
66	0.5755208333333333	0.5561342592592593	0.5610532407407407
67	0.41550925925925924	0.4739583333333333	0.48321759259259256
68	0.40740740740740744	0.39467592592592593	0.4699074074074074
69	0.4803240740740741	0.5286458333333333	0.45862268518518523
70	0.4901620370370371	0.3773148148148148	0.3561921296296296
71	0.42418981481481477	0.4108796296296296	0.40306712962962965
72	0.5324074074074074	0.5998263888888888	0.5960648148148148
73	0.3680555555555556	0.4994212962962963	0.5298032407407407
74	0.4267939814814815	0.4103009259259259	0.4895833333333333
75	0.5960648148148148	0.3874421296296296	0.42447916666666674
76	0.5017361111111112	0.5491898148148148	0.5801504629629629
77	0.5914351851851852	0.5584490740740741	0.5379050925925926
78	0.5329861111111112	0.4866898148148149	0.5300925925925926
79	0.46354166666666663	0.5659722222222223	0.5943287037037037
80	0.42129629629629634	0.5358796296296295	0.4797453703703703
81	0.4971064814814814	0.6073495370370371	0.6704282407407407
82	0.38252314814814814	0.2991898148148149	0.3443287037037037
83	0.5807291666666666	0.47019675925925924	0.6209490740740741
84	0.5057870370370371	0.5940393518518519	0.5477430555555555
85	0.4994212962962963	0.4965277777777778	0.527488425925926
86	0.5321180555555556	0.5532407407407407	0.5384837962962963
87	0.4675925925925926	0.3836805555555555	0.3480902777777778
88	0.4212962962962963	0.48755787037037035	0.5274884259259258
89	0.43344907407407407	0.3990162037037037	0.4207175925925926
90	0.6304976851851852	0.5691550925925926	0.6767939814814815
91	0.45572916666666674	0.3961226851851852	0.36689814814814814
92	0.4780092592592593	0.4797453703703704	0.3721064814814815
93	0.6064814814814815	0.5671296296296297	0.662326388888889
94	0.5613425925925926	0.5946180555555555	0.6108217592592593
95	0.5211226851851851	0.47337962962962965	0.5630787037037037
96	0.5784143518518517	0.3689236111111111	0.3587962962962963
97	0.3179976851851851	0.3385416666666667	0.42679398148148145
98	0.4606481481481482	0.4247685185185185	0.470775462962963
99	0.46759259259259267	0.3770254629629629	0.4346064814814815
100	0.5497685185185185	0.49826388888888884	0.5413773148148148
