fold	run_accession	EN_C	EN_l1_ratio	RF_n_estimators	RF_max_depth	XGB_n_estimators	XGB_max_depth	XGB_learning_rate
94	SRR6000899	1.0	0.5	500	10	200	2	0.05
95	SRR6000900	100.0	0.3	200	5	100	2	0.05
96	SRR6000901	1.0	0.3	500	None	200	2	0.05
97	SRR6000902	1.0	0.5	500	None	200	2	0.05
98	SRR6000903	100.0	0.3	500	10	100	2	0.05
99	SRR6000905	100.0	0.3	500	None	100	2	0.05
100	SRR6000906	10.0	0.5	500	10	100	2	0.05
101	SRR6000907	10.0	0.3	200	10	100	3	0.1
102	SRR6000908	1.0	0.7	200	5	200	2	0.05
103	SRR6000909	100.0	0.3	500	5	100	3	0.05
104	SRR6000910	100.0	0.3	500	10	100	3	0.05
105	SRR6000911	100.0	0.3	200	5	200	2	0.1
106	SRR6000912	1.0	0.5	200	10	100	3	0.1
107	SRR6000920	100.0	0.3	200	5	100	3	0.05
108	SRR6000921	1.0	0.7	500	5	100	3	0.05
109	SRR6000931	10.0	0.7	500	5	200	2	0.1
110	SRR6000932	1.0	0.7	200	None	200	2	0.1
111	SRR6000940	100.0	0.3	200	5	100	2	0.05
112	SRR6000942	1.0	0.7	200	None	100	2	0.1
113	SRR6000943	1.0	0.7	200	10	100	2	0.05
114	SRR6000944	1.0	0.7	200	10	200	2	0.05
115	SRR6000945	10.0	0.7	500	5	100	2	0.1
116	SRR6000946	1.0	0.7	500	10	100	2	0.05
117	SRR6000947	1.0	0.5	200	None	100	2	0.05
118	SRR6000949	1.0	0.3	500	10	100	2	0.1
